business_name,telephone,business_page,category,website,street,locality,region,zipcode
Reigning Love Church,(413) 448-6221,https://www.yellowpages.com/pittsfield-ma/mip/reigning-love-church-985019,"Religious Organizations,Charismatic Churches,Churches & Places of Worship",http://www.reigninglovechurch.com,235 East St,Pittsfield,MA,01201
St. Agnes Catholic Church,(315) 676-7050,https://www.yellowpages.com/brewerton-ny/mip/st-agnes-catholic-church-4045491,"Religious Organizations,Catholic Churches,Churches & Places of Worship",,5472 Miller Rd,Brewerton,NY,13029
Thousand Islands Central School District,(315) 686-5594,https://www.yellowpages.com/clayton-ny/mip/thousand-islands-central-school-district-6283788,"Public Schools,Schools,Elementary Schools",http://www.1000islandsschools.org,8481 County Route 9,Clayton,NY,13624
GST Boces Ric,(607) 739-3581,https://www.yellowpages.com/elmira-ny/mip/gst-boces-ric-542484420,Public Schools,http://gstboces.org,951 Hoffman St,Elmira,NY,14905
Canandaigua Elementary School,(585) 396-3900,https://www.yellowpages.com/canandaigua-ny/mip/canandaigua-elementary-school-458533760,"Public Schools,Elementary Schools,Schools",https://www.canandaiguaschools.org,90 W Gibson St,Canandaigua,NY,14424
Syracuse City School District,(315) 435-4490,https://www.yellowpages.com/syracuse-ny/mip/syracuse-city-school-district-28777245,Public Schools,http://syracusecityschools.com,1130 Salt Springs Rd,Syracuse,NY,13224
Court Street Elementary School,(716) 686-3240,https://www.yellowpages.com/lancaster-ny/mip/court-street-elementary-school-5584928,"Public Schools,Elementary Schools,Preschools & Kindergarten",http://www.lancasterschools.org/Domain/779,91 Court St,Lancaster,NY,14086
Mohawk Central School District,(315) 867-2904,https://www.yellowpages.com/mohawk-ny/mip/mohawk-central-school-district-453289946,"Public Schools,Schools,Elementary Schools",,28 Grove St,Mohawk,NY,13407
Roman Catholic Diocese Burlington,(802) 425-2637,https://www.yellowpages.com/charlotte-vt/mip/roman-catholic-diocese-burlington-493211169,Religious Organizations,http://rcda.org,2894 Spear St,Charlotte,VT,05445
St Marys Church,(585) 584-3280,https://www.yellowpages.com/pavilion-ny/mip/st-marys-church-10933709,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://maryimmaculateny.org,11095 St Marys St,Pavilion,NY,14525
Oneonta City School District,(607) 433-8200,https://www.yellowpages.com/oneonta-ny/mip/oneonta-city-school-district-536950753,"Public Schools,Educational Services,Schools",,31 Center St,Oneonta,NY,13820
Deliverence Cathedral Ministries,(716) 464-9365,https://www.yellowpages.com/buffalo-ny/mip/deliverence-cathedral-ministries-9546901,"Religious Organizations,Churches & Places of Worship,Non-Denominational Churches",,1936 Genesee St,Buffalo,NY,14211
Congregation Shir Shalom,(716) 633-8877,https://www.yellowpages.com/buffalo-ny/mip/congregation-shir-shalom-501669983,Religious Organizations,http://shirshalombuffalo.org,4660 Sheridan Dr,Buffalo,NY,14221
Hamburg Central School District,(716) 646-3370,https://www.yellowpages.com/hamburg-ny/mip/hamburg-central-school-district-453255818,"Public Schools,Schools",http://www.hamburgschools.org,301 Charlotte Ave,Hamburg,NY,14075
St John Parish - CLOSED,(315) 652-6591,https://www.yellowpages.com/liverpool-ny/mip/st-john-parish-460477621,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://popejohnchurch.org,8290 Soule Rd,Liverpool,NY,13090
Syracuse City School District,(315) 435-4260,https://www.yellowpages.com/syracuse-ny/mip/syracuse-city-school-district-459485714,Public Schools,http://www.syracusecityschools.com,369 6th North St,Syracuse,NY,13208
Warrensburg Jr Sr High School,(518) 623-2861,https://www.yellowpages.com/warrensburg-ny/mip/warrensburg-jr-sr-high-school-7341556,"Public Schools,Middle Schools,Schools",http://www.wcsd.org,103 Schroon River Rd,Warrensburg,NY,12885
Department of Christian Formation,(315) 782-3620,https://www.yellowpages.com/watertown-ny/mip/department-of-christian-formation-480173680,Religious Organizations,https://www.rcdony.org,320 W Lynde St,Watertown,NY,13601
Plattsburgh Teachers Fed Credit Union,(518) 561-4510,https://www.yellowpages.com/plattsburgh-ny/mip/plattsburgh-teachers-fed-credit-union-469337624,"Public Schools,Schools,Elementary Schools",http://www.plattscsd.org,49 Broad St,Plattsburgh,NY,12901
Clary Middle School,(315) 435-4411,https://www.yellowpages.com/syracuse-ny/mip/clary-middle-school-7907808,"Public Schools,Schools",http://www.syracusecityschools.com,100 Amidon Dr,Syracuse,NY,13205
Eckankar New York,(315) 455-7315,https://www.yellowpages.com/syracuse-ny/mip/eckankar-new-york-18167733,"Religious Organizations,Eckankar Churches,Churches & Places of Worship",http://www.eckankar-ny.org,5858 E Molloy Rd,Syracuse,NY,13211
Unadilla Center United Methodist Church,(607) 563-7713,https://www.yellowpages.com/unadilla-ny/mip/unadilla-center-united-methodist-church-462663210,"Religious Organizations,Methodist Churches,Churches & Places of Worship",http://73854353.view-events.com,1203 Butternut Rd,Unadilla,NY,13849
Odessa Montour Central School,(607) 594-3341,https://www.yellowpages.com/odessa-ny/mip/odessa-montour-central-school-459718081,"Public Schools,Schools,Elementary Schools",http://www.omschools.org,300 College Ave,Odessa,NY,14869
Jehovah's Witnesses - CLOSED,(585) 968-3059,https://www.yellowpages.com/cuba-ny/mip/jehovahs-witnesses-459673397,"Religious Organizations,Jehovah's Witnesses Places of Worship,Churches & Places of Worship",http://www.watchtower.org,5894 Route 305,Cuba,NY,14727
Yeshiva Boyan,(718) 435-6060,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-boyan-883246,"Public Schools,Schools",,4315 12th Ave,Brooklyn,NY,11219
Olean City School District,(716) 375-8060,https://www.yellowpages.com/olean-ny/mip/olean-city-school-district-485554133,Public Schools,https://www.oleanschools.org/site/default.aspx?domainid=184,420 N 7th St,Olean,NY,14760
Philadelphia Primary School,(315) 642-3432,https://www.yellowpages.com/philadelphia-ny/mip/philadelphia-primary-school-9904596,"Public Schools,Elementary Schools,Schools",https://www.ircsd.org,3 Sand St,Philadelphia,NY,13673
Jennie F Snapp Middle School,(607) 757-2156,https://www.yellowpages.com/endicott-ny/mip/jennie-f-snapp-middle-school-1838835,"Public Schools,Schools,Middle Schools",http://www.uek12.org/JFS.aspx,101 S Loder Ave,Endicott,NY,13760
Frontier Central School District,(716) 926-1705,https://www.yellowpages.com/hamburg-ny/mip/frontier-central-school-district-504591905,"Public Schools,Educational Services,Schools",https://www.frontier.wnyric.org,S4432 Bay View Rd,Hamburg,NY,14075
Pathfinder Village Foundation Inc,(607) 965-8377,https://www.yellowpages.com/edmeston-ny/mip/pathfinder-village-foundation-inc-8847691,"Public Schools,Schools",http://pathfindervillage.org,3 Chenango Rd,Edmeston,NY,13335
Northsied Blodgett Middle School,(607) 936-3791,https://www.yellowpages.com/corning-ny/mip/northsied-blodgett-middle-school-11889760,"Public Schools,Schools,Middle Schools",http://corningareaschools.com,143 Princeton Ave,Corning,NY,14830
Corning-Painted Post School District,(607) 962-6083,https://www.yellowpages.com/painted-post-ny/mip/corning-painted-post-school-district-8584143,Public Schools,,3805 Meads Creek Rd,Painted Post,NY,14870
Skaneateles High School,(315) 291-2221,https://www.yellowpages.com/skaneateles-ny/mip/skaneateles-high-school-962217,"Public Schools,Schools",http://www.skanschools.org,45 E Elizabeth St,Skaneateles,NY,13152
Catholic Charities,(716) 676-9127,https://www.yellowpages.com/franklinville-ny/mip/catholic-charities-510096921,"Religious Organizations,Charities",,28 Park Sq,Franklinville,NY,14737
Vineyard Church Syracuse,(315) 699-7900,https://www.yellowpages.com/cicero-ny/mip/vineyard-church-syracuse-523377476,"Religious Organizations,Churches & Places of Worship",http://www.vineyardny.org,8262 Brewerton Rd,Cicero,NY,13039
Cong Yeshiva Avir Yakov,(845) 354-0874,https://www.yellowpages.com/new-square-ny/mip/cong-yeshiva-avir-yakov-497861810,"Public Schools,Preschools & Kindergarten",http://mail.ercsd.k12.ny.us/gw/webacc,766 N Main St Ste 101,New Square,NY,10977
Masonville Federated Church,(607) 265-3774,https://www.yellowpages.com/masonville-ny/mip/masonville-federated-church-465744,"Religious Organizations,Evangelical Covenant Churches,Churches & Places of Worship",,State Route 206,Masonville,NY,13804
Orchard Park Central School,(716) 209-6279,https://www.yellowpages.com/orchard-park-ny/mip/orchard-park-central-school-10183707,"Public Schools,Schools",http://www.opschools.org,3870 Sheldon Rd,Orchard Park,NY,14127
Yeshiva Bobover,(718) 435-7514,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-bobover-9019167,"Public Schools,Schools",,4206 15th Ave,Brooklyn,NY,11219
Hispanic Migrant Ministry,(585) 589-2720,https://www.yellowpages.com/albion-ny/mip/hispanic-migrant-ministry-17368885,"Religious Organizations,Churches & Places of Worship",,106 S Main St,Albion,NY,14411
Ephesus Ministries,(716) 464-3640,https://www.yellowpages.com/buffalo-ny/mip/ephesus-ministries-456706855,"Religious Organizations,Churches & Places of Worship,Evangelical Churches",http://www.ephesusministries.org,341 Grider St,Buffalo,NY,14215
Reuther John,(716) 634-3793,https://www.yellowpages.com/buffalo-ny/mip/reuther-john-455918854,Religious Organizations,,35 Brompton Rd,Buffalo,NY,14221
Candor Central School,(607) 659-5010,https://www.yellowpages.com/candor-ny/mip/candor-central-school-459532290,"Public Schools,Educational Services,Schools",http://www.candor.org,1 Academy St,Candor,NY,13743
Waverly High & Middle School,(607) 565-8101,https://www.yellowpages.com/waverly-ny/mip/waverly-high-middle-school-451879397,"Public Schools,Schools,Elementary Schools",https://www.waverlyschools.com,1 Frederick St,Waverly,NY,14892
Yeshiva Of Belle Harbor,(718) 474-0045,https://www.yellowpages.com/rockaway-park-ny/mip/yeshiva-of-belle-harbor-10469897,"Public Schools,Preschools & Kindergarten,Schools",http://www.yeshivaofbelleharbor.org,13401 Rockaway Beach Blvd Ste 1,Rockaway Park,NY,11694
Franciscan Sisters-St Joseph,(716) 648-9103,https://www.yellowpages.com/hamburg-ny/mip/franciscan-sisters-st-joseph-11776611,"Religious Organizations,Convents & Monasteries,Churches & Places of Worship",,5229 S Park Ave,Hamburg,NY,14075
Wellspring Family Life Church,(315) 676-2184,https://www.yellowpages.com/central-square-ny/mip/wellspring-family-life-church-466682804,"Religious Organizations,Assemblies of God Churches,Churches & Places of Worship",https://www.wellspringflc.org,137 Us Route 11,Central Square,NY,13036
St Martin's Lutheran Church,(716) 941-3335,https://www.yellowpages.com/colden-ny/mip/st-martins-lutheran-church-3264946,"Religious Organizations,Lutheran Churches,Churches & Places of Worship",,8304 Cole Rd,Colden,NY,14033
Mount Morris Central Elementary,(585) 658-2019,https://www.yellowpages.com/mount-morris-ny/mip/mount-morris-central-elementary-1873625,Public Schools,http://www.mtmorriscsd.org,30 Bonadonna Ave,Mount Morris,NY,14510
Unatego Community Church,(607) 369-7425,https://www.yellowpages.com/unadilla-ny/mip/unatego-community-church-487954497,"Religious Organizations,Baptist Churches,Churches & Places of Worship",http://unategoministry.wordpress.com,18 Watson St,Unadilla,NY,13849
Auburn Enlarged City School District,(315) 255-8720,https://www.yellowpages.com/auburn-ny/mip/auburn-enlarged-city-school-district-486676348,Public Schools,,66 Letchworth St,Auburn,NY,13021
Church Of Jesus Christ Of Latter Day Saints,(716) 487-0830,https://www.yellowpages.com/jamestown-ny/mip/church-of-jesus-christ-of-latter-day-saints-4180902,"Religious Organizations,Church of Jesus Christ of Latter-day Saints,Churches & Places of Worship",http://www.lds.org,851 Forest Ave,Jamestown,NY,14701
Big Tree Elementary School,(716) 926-1740,https://www.yellowpages.com/hamburg-ny/mip/big-tree-elementary-school-2859135,"Public Schools,Elementary Schools,Schools",http://www.frontier.wnyric.org,4460 Bay View Rd,Hamburg,NY,14075
Raymond C Buckley Elementary,(607) 533-3020,https://www.yellowpages.com/lansing-ny/mip/raymond-c-buckley-elementary-542748740,Public Schools,http://lcsd.k12.ny.us,284 Ridge Rd,Lansing,NY,14882
Northville Elementary School,(518) 863-7000,https://www.yellowpages.com/northville-ny/mip/northville-elementary-school-465579135,"Public Schools,Schools,Middle Schools",http://www.northvillecsd.k12.ny.us,131 S 3rd St,Northville,NY,12134
Winooski School District,(802) 655-0485,https://www.yellowpages.com/winooski-vt/mip/winooski-school-district-13772624,"Public Schools,Schools,Elementary Schools",https://www.wsdschools.org,60 Normand St,Winooski,VT,05404
Copenhagen Central School,(315) 688-4472,https://www.yellowpages.com/copenhagen-ny/mip/copenhagen-central-school-10823147,"Public Schools,Schools,Educational Services",http://www.ccsknights.org,115 Mechanic St,Copenhagen,NY,13626
South Bay Bible Church,(631) 909-8241,https://www.yellowpages.com/east-moriches-ny/mip/south-bay-bible-church-3423765,"Religious Organizations,Bible Churches,Churches & Places of Worship",http://www.southbaychurchli.org,578 Montauk Hwy,East Moriches,NY,11940
Salem Hyde Elementary School,(315) 435-4570,https://www.yellowpages.com/syracuse-ny/mip/salem-hyde-elementary-school-14159596,"Public Schools,Elementary Schools,Preschools & Kindergarten",http://www.syracusecityschools.com,450 Durston Ave,Syracuse,NY,13203
Mettawee Community School,(802) 645-9009,https://www.yellowpages.com/west-pawlet-vt/mip/mettawee-community-school-453704295,"Public Schools,Schools,Elementary Schools",http://www.mettaweeschool.org,5788 Vt Route 153,West Pawlet,VT,05775
Yeshiva Darche,(718) 333-3448,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-darche-546757979,Schools,,1625 Coney Island Ave,Brooklyn,NY,11230
Fillmore Central School,(585) 567-2251,https://www.yellowpages.com/fillmore-ny/mip/fillmore-central-school-4882897,"Public Schools,Schools,High Schools",https://www.fillmorecsd.org,104 W Main St,Fillmore,NY,14735
Ithaca City School District,(607) 274-2214,https://www.yellowpages.com/ithaca-ny/mip/ithaca-city-school-district-453170122,Public Schools,http://www.icsd.k12.ny.us,202 King St,Ithaca,NY,14850
Watkins Glen Central School District Operations Facility,(607) 535-3271,https://www.yellowpages.com/watkins-glen-ny/mip/watkins-glen-central-school-district-operations-facility-457340209,"Public Schools,Schools",,706 S Decatur St,Watkins Glen,NY,14891
Binghamton City School District,(607) 762-8114,https://www.yellowpages.com/binghamton-ny/mip/binghamton-city-school-district-9214718,"Public Schools,Schools,Elementary Schools",http://www.binghamtonschools.org,98 Oak St,Binghamton,NY,13905
Buffalo Public Schools,(716) 816-3120,https://www.yellowpages.com/buffalo-ny/mip/buffalo-public-schools-453453021,"Public Schools,Government Offices,Schools",,255 Porter Ave,Buffalo,NY,14201
Buffalo Dream Center Chu,(716) 854-1001,https://www.yellowpages.com/buffalo-ny/mip/buffalo-dream-center-chu-459461562,"Religious Organizations,Churches & Places of Worship,Non-Denominational Churches",http://www.buffalodreamcenter.org,512 Pearl St,Buffalo,NY,14202
Saint Marys Mission Center,(518) 298-3503,https://www.yellowpages.com/champlain-ny/mip/saint-marys-mission-center-12455507,"Religious Organizations,Churches & Places of Worship",,88 Oak St,Champlain,NY,12919
Minetto United Methodist Church Study,(315) 343-3465,https://www.yellowpages.com/oswego-ny/mip/minetto-united-methodist-church-study-473715461,"Religious Organizations,Methodist Churches,Churches & Places of Worship",http://minettoumc.org,2443 County Route 7,Oswego,NY,13126
Jehovah's Witnesses,(716) 282-4851,https://www.yellowpages.com/niagara-falls-ny/mip/jehovahs-witnesses-5090756,"Religious Organizations,Jehovah's Witnesses Places of Worship,Churches & Places of Worship",http://www.watchtower.org,3200 17th St,Niagara Falls,NY,14305
Main Office High School,(315) 348-2520,https://www.yellowpages.com/port-leyden-ny/mip/main-office-high-school-466545051,"Public Schools,Schools",,,Port Leyden,NY,13433
South Wales Pre School Inc,(716) 652-2176,https://www.yellowpages.com/holland-ny/mip/south-wales-pre-school-inc-29438321,Public Schools,http://southwalespreschool.com,10794 Darien Rd,Holland,NY,14080
Central Square Central School District Transportation Center,(315) 668-4210,https://www.yellowpages.com/central-square-ny/mip/central-square-central-school-district-transportation-center-6537794,Public Schools,,248 US Route 11,Central Square,NY,13036
St Mary's School,(518) 585-7433,https://www.yellowpages.com/ticonderoga-ny/mip/st-marys-school-363318,"Public Schools,Schools,Elementary Schools",http://www.stmarysschoolticonderoga.org,64 Amherst Ave,Ticonderoga,NY,12883
Yeshiva Of Flatbush,(718) 859-3018,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-of-flatbush-540990546,Schools,,916 Avenue I,Brooklyn,NY,11230
Transportation Eden Central,(716) 992-3633,https://www.yellowpages.com/eden-ny/mip/transportation-eden-central-15788419,"Public Schools,Educational Services,Schools",http://www.edencsd.org,2902 Schoolview Rd,Eden,NY,14057
Snyder H Austin Elementary,(570) 888-7742,https://www.yellowpages.com/sayre-pa/mip/snyder-h-austin-elementary-7039911,"Public Schools,Elementary Schools,Preschools & Kindergarten",https://www.sayresd.org,130 Cedar St,Sayre,PA,18840
Barringer Road Elementary School,(315) 894-8420,https://www.yellowpages.com/ilion-ny/mip/barringer-road-elementary-school-8902496,"Public Schools,Elementary Schools,Government Offices",http://www.cvalleycsd.org/barringer-road-elementary-school,326 Barringer Rd,Ilion,NY,13357
First United Methodist Church Of Bainbridge,(607) 967-2782,https://www.yellowpages.com/bainbridge-ny/mip/first-united-methodist-church-of-bainbridge-644408,"Religious Organizations,Methodist Churches,Churches & Places of Worship",http://www.umc.org/find-a-church/search,27 N Main St,Bainbridge,NY,13733
Naples Elementary School,(585) 374-7950,https://www.yellowpages.com/naples-ny/mip/naples-elementary-school-530627557,Public Schools,http://www.naples.k12.ny.us,2 Academy St,Naples,NY,14512
Swanton School LHP,(802) 868-0413,https://www.yellowpages.com/swanton-vt/mip/swanton-school-lhp-6494296,Public Schools,,31 Church St,Swanton,VT,05488
Cayuga-Onondaga Boces,(315) 253-4899,https://www.yellowpages.com/auburn-ny/mip/cayuga-onondaga-boces-460180029,"Public Schools,Schools",https://www.cayboces.org,12 Allen St,Auburn,NY,13021
Dunkirk City School District,(716) 366-9339,https://www.yellowpages.com/dunkirk-ny/mip/dunkirk-city-school-district-9592554,"Public Schools,Schools",https://www.dunkirkcsd.org,90 E 4th St,Dunkirk,NY,14048
Yeshiva Shaarei Yosher Office,(845) 434-5583,https://www.yellowpages.com/fallsburg-ny/mip/yeshiva-shaarei-yosher-office-466533440,"Public Schools,Schools",,5556 State Route 42,Fallsburg,NY,12733
St Mary's Church,(585) 493-5265,https://www.yellowpages.com/silver-springs-ny/mip/st-marys-church-17954347,"Religious Organizations,Catholic Churches,Churches & Places of Worship",,23 Church St,Silver Springs,NY,14550
Institute of Theology,(716) 664-5322,https://www.yellowpages.com/bemus-point-ny/mip/institute-of-theology-14727848,Religious Organizations,http://instituteoftheology.org,3157 Dutch Hollow Rd,Bemus Point,NY,14712
Yeshiva Darchei Torah,(845) 434-2087,https://www.yellowpages.com/woodbourne-ny/mip/yeshiva-darchei-torah-514390762,"Private Schools (K-12),Schools",,228 Todd Rd,Woodbourne,NY,12788
Allegany Boces Cattaraugus,(716) 699-2382,https://www.yellowpages.com/ellicottville-ny/mip/allegany-boces-cattaraugus-537049235,Public Schools,https://www.caboces.org,5550 Route 242 E,Ellicottville,NY,14731
Yeshiva Shaare Torah,(718) 437-6101,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-shaare-torah-3149189,Schools,,222 Ocean Pkwy,Brooklyn,NY,11218
Good Shepherd Catholic Community,(315) 364-7197,https://www.yellowpages.com/aurora-ny/mip/good-shepherd-catholic-community-454786544,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://thegoodshepherd.cc,299 Main St,Aurora,NY,13026
Chabad House Of Buffalo,(716) 688-1642,https://www.yellowpages.com/getzville-ny/mip/chabad-house-of-buffalo-12044712,"Religious Organizations,Synagogues,Churches & Places of Worship",https://www.chabadofbuffalo.com,2450 North Forest Road,Getzville,NY,14068
York Central School,(585) 243-1730,https://www.yellowpages.com/retsof-ny/mip/york-central-school-535392116,"Public Schools,Schools,Elementary Schools",http://www.yorkcsd.org,2636 Genesee St,Retsof,NY,14539
Lenox Special Needs,(413) 637-5571,https://www.yellowpages.com/lenox-ma/mip/lenox-special-needs-8115497,"Public Schools,Government Offices",http://www.lenoxps.org,129 West St,Lenox,MA,01240
Congregation Zichron Dovid/ Yeshiva Harei Bisamim,(718) 926-5751,https://www.yellowpages.com/brooklyn-ny/mip/congregation-zichron-dovid-yeshiva-harei-bisamim-548694892,School Information,,1135 54th Street,Brooklyn,NY,11219
Southampton Montessori School,(631) 283-2223,https://www.yellowpages.com/southampton-ny/mip/southampton-montessori-school-968357,"Public Schools,Schools,Educational Services",http://www.southamptonmontessorischool.com,135 Saint Andrews Rd,Southampton,NY,11968
Victory Baptist Church,(716) 672-6809,https://www.yellowpages.com/fredonia-ny/mip/victory-baptist-church-453297892,"Religious Organizations,Baptist Churches,Methodist Churches",https://www.kjvchurches.com,10659 S Roberts Rd,Fredonia,NY,14063
Horseheads Middle School,(607) 739-6360,https://www.yellowpages.com/horseheads-ny/mip/horseheads-middle-school-459288317,"Public Schools,Schools,Elementary Schools",http://www.horseheadsdistrict.com,950 Sing Sing Rd,Horseheads,NY,14845
Wheeler Intermediate School,(315) 552-5050,https://www.yellowpages.com/nedrow-ny/mip/wheeler-intermediate-school-6979533,Public Schools,http://www.ocs.cnyric.org,4543 S Onondaga Rd,Nedrow,NY,13120
Elmira Heights Central School District,(607) 734-7114,https://www.yellowpages.com/elmira-ny/mip/elmira-heights-central-school-district-458505079,"Public Schools,Schools,Elementary Schools",http://www.heightsschools.com,2083 College Ave,Elmira,NY,14903
Silver Lake Mennonite Church,(585) 786-3040,https://www.yellowpages.com/perry-ny/mip/silver-lake-mennonite-church-4397205,"Religious Organizations,Mennonite Churches,Churches & Places of Worship",,6276 Burke Hill Rd,Perry,NY,14530
Buffalo Public Schools,(716) 816-4080,https://www.yellowpages.com/buffalo-ny/mip/buffalo-public-schools-455648746,"Public Schools,County & Parish Government,Schools",https://www.buffaloschools.org,462 Grider St,Buffalo,NY,14215
Frontier Central High School,(716) 926-1720,https://www.yellowpages.com/hamburg-ny/mip/frontier-central-high-school-464994831,"Public Schools,Schools,Elementary Schools",http://www.frontier.wnyric.org/fchs,4432 Bay View Rd,Hamburg,NY,14075
Yeshiva of Telshe Alumni,(718) 549-0540,https://www.yellowpages.com/bronx-ny/mip/yeshiva-of-telshe-alumni-474668117,Schools,,640 W 249th St,Bronx,NY,10471
St Margaret's Church,(315) 455-5534,https://www.yellowpages.com/syracuse-ny/mip/st-margarets-church-12593813,"Religious Organizations,Catholic Churches,Clergy",http://www.stmargchurchmattydale.org,203 Roxboro Rd,Syracuse,NY,13211
Ausable Valley Board of Ed,(518) 834-2845,https://www.yellowpages.com/keeseville-ny/mip/ausable-valley-board-of-ed-29200816,"Public Schools,Educational Services,Schools",http://www.avcs.org,1273 Route 9n,Keeseville,NY,12924
Herkimer Reformed Church,(315) 866-1523,https://www.yellowpages.com/herkimer-ny/mip/herkimer-reformed-church-3064507,"Religious Organizations,Reformed Churches,Churches & Places of Worship",http://www.herkimernow.com,102 Church St,Herkimer,NY,13350
Cheektowaga Sloan School District,(716) 897-7800,https://www.yellowpages.com/buffalo-ny/mip/cheektowaga-sloan-school-district-472635316,"Public Schools,Schools,Educational Services",http://cheektowagasloan.org,166 Halstead Ave,Buffalo,NY,14212
Ellicott Elementary School,(716) 209-6278,https://www.yellowpages.com/orchard-park-ny/mip/ellicott-elementary-school-1434571,"Public Schools,Elementary Schools,Preschools & Kindergarten",https://www.opschools.org,5180 Ellicott Rd,Orchard Park,NY,14127
Fordsbush Bible Church,(518) 568-7606,https://www.yellowpages.com/fort-plain-ny/mip/fordsbush-bible-church-29448309,"Religious Organizations,Bible Churches,Churches & Places of Worship",http://www.fordsbushbiblechurch.com,131 Clark Rd,Fort Plain,NY,13339
Tabernacle Of Worship,(315) 405-8559,https://www.yellowpages.com/watertown-ny/mip/tabernacle-of-worship-504011323,"Religious Organizations,Churches & Places of Worship",,314 Clay St,Watertown,NY,13601
The Fellowship of Gods Word,(716) 694-2709,https://www.yellowpages.com/tonawanda-ny/mip/the-fellowship-of-gods-word-29599752,"Religious Organizations,Interdenominational Churches,Churches & Places of Worship",,116 Broad St,Tonawanda,NY,14150
St Mary's Episcopal Church,(631) 728-0776,https://www.yellowpages.com/hampton-bays-ny/mip/st-marys-episcopal-church-454774893,"Religious Organizations,Episcopal Churches,Churches & Places of Worship",http://www.stmaryshb.org,165 Ponquogue Ave,Hampton Bays,NY,11946
Apalachin United Methodist Church,(607) 625-2733,https://www.yellowpages.com/apalachin-ny/mip/apalachin-united-methodist-church-9405469,"Religious Organizations,Methodist Churches,Churches & Places of Worship",http://www.unyumc.org/resources/church/apalachin-first-umc,303 Pennsylvania Ave,Apalachin,NY,13732
The Rock of Greater Burlington,(802) 864-6516,https://www.yellowpages.com/south-burlington-vt/mip/the-rock-of-greater-burlington-1116137?lid=1001980058265,"Religious Organizations,Methodist Churches,Anglican Churches",http://yahweh.tv,73 Thompson St,South Burlington,VT,05403
Fabius-Pompey Special Education Office,(315) 683-5465,https://www.yellowpages.com/fabius-ny/mip/fabius-pompey-special-education-office-544187968,Public Schools,http://www.fabiuspompey.org,1211 Mill St,Fabius,NY,13063
St Aloysius Schl,(716) 592-7002,https://www.yellowpages.com/springville-ny/mip/st-aloysius-schl-7709133,"Public Schools,Schools,Elementary Schools",http://www.staloysiusregional.com,186 Franklin St,Springville,NY,14141
Webutuck High School,(518) 789-4672,https://www.yellowpages.com/millerton-ny/mip/webutuck-high-school-18084147,"Public Schools,Schools,Educational Services",http://www.webutuckschools.org,158 Old Post Rd 4,Millerton,NY,12546
St Jude's Schl,(518) 283-0333,https://www.yellowpages.com/wynantskill-ny/mip/st-judes-schl-454768079,"Public Schools,Schools,Educational Services",,Brookside Ave,Wynantskill,NY,12198
St Rita's Church,(607) 648-8816,https://www.yellowpages.com/chenango-forks-ny/mip/st-ritas-church-462688599,"Religious Organizations,Roman Catholic Churches,Churches & Places of Worship",,2530 State Route 12,Chenango Forks,NY,13746
St John's Church,(518) 891-2286,https://www.yellowpages.com/lake-clear-ny/mip/st-johns-church-462926008,"Religious Organizations,Catholic Churches,Churches & Places of Worship",,6148 State Route 30,Lake Clear,NY,12945
Yeshiva Kehilath Yakov,(718) 387-7905,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-kehilath-yakov-462885958,"Public Schools,Schools,Private Schools (K-12)",,68 Harrison Ave,Brooklyn,NY,11211
New Beginnings Unity MBC,(315) 476-4655,https://www.yellowpages.com/syracuse-ny/mip/new-beginnings-unity-mbc-6956513,"Religious Organizations,Baptist Churches,Churches & Places of Worship",,588 Delaware St,Syracuse,NY,13204
Old Saybrook Public Schools,(860) 395-3157,https://www.yellowpages.com/old-saybrook-ct/mip/old-saybrook-public-schools-458668760,Public Schools,http://www.oldsaybrookschools.org,50 Sheffield St,Old Saybrook,CT,06475
Fulton Junior High School,(315) 593-5440,https://www.yellowpages.com/fulton-ny/mip/fulton-junior-high-school-7459911,"Public Schools,Middle Schools,Schools",http://www.fultoncsd.org,129 Curtis St,Fulton,NY,13069
Buffalo Public Schools,(716) 816-4110,https://www.yellowpages.com/buffalo-ny/mip/buffalo-public-schools-12933958,"Public Schools,Government Offices,Schools",http://sphhp.buffalo.edu,106 Appenheimer Ave,Buffalo,NY,14214
Diocese Of Buffalo N Y,(716) 836-1191,https://www.yellowpages.com/buffalo-ny/mip/diocese-of-buffalo-n-y-493574700,Public Schools,https://www.saintmarkschool.com,399 Woodward Ave,Buffalo,NY,14214
Yeshiva Shaare Torah Girls High School,(718) 382-4000,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-shaare-torah-girls-high-school-458887966,"Public Schools,Schools,Elementary Schools",,1768 Ocean Ave,Brooklyn,NY,11230
Bailey Ave Elementary School,(518) 563-2410,https://www.yellowpages.com/plattsburgh-ny/mip/bailey-ave-elementary-school-953074,"Public Schools,Elementary Schools,Preschools & Kindergarten",http://www.plattscsd.org,50 Bailey Ave,Plattsburgh,NY,12901
